2	26.830
2.492	1.345	-108.234
0.870	0.456	-106.929
-0.729	-0.425	-105.673
-2.413	-1.534	-104.508
-3.133	-3.131	-103.442
-2.295	-3.483	-102.515
-1.239	-3.588	-101.589
0.073	-3.352	-100.636
1.605	-2.751	-99.659
3.091	-2.358	-98.638
1.976	-4.211	-97.452
1.917	-3.291	-96.318
1.112	-3.076	-95.092
0.541	-2.607	-93.862
0.089	-2.012	-92.645
-0.343	-1.371	-91.462
-0.583	-0.517	-90.328
0.359	1.079	-89.233
1.763	1.522	-88.131
2.835	1.424	-87.059
3.332	0.596	-86.040
3.275	-0.679	-85.048
2.615	-2.229	-84.035
1.812	-3.971	-82.966
0.347	-5.425	-81.744
-0.248	-5.015	-80.575
-0.334	-4.149	-79.443
-0.211	-3.110	-78.337
0.526	-1.784	-77.300
1.968	-0.583	-76.294
3.352	-0.035	-75.297
4.363	-0.223	-74.315
5.145	-0.765	-73.309
5.518	-1.689	-72.214
4.909	-3.067	-70.961
3.620	-3.925	-69.541
2.478	-4.053	-68.109
1.556	-3.733	-66.770
1.493	-2.642	-65.625
2.771	-2.319	-64.660
3.975	-2.175	-63.715
5.081	-2.340	-62.733
6.002	-2.803	-61.692
6.775	-3.462	-60.574
7.317	-4.350	-59.351
6.089	-4.879	-57.764
5.015	-4.971	-56.112
3.946	-5.018	-54.534
2.793	-5.072	-53.106
1.728	-4.957	-51.843
1.219	-4.193	-50.795
2.284	-4.479	-50.018
3.216	-4.987	-49.209
4.227	-5.402	-48.354
3.465	-4.963	-47.199
2.428	-4.766	-45.991
1.293	-4.765	-44.782
0.064	-5.154	-43.572
0.311	-6.124	-42.623
1.254	-6.456	-41.813
1.784	-7.217	-40.895
1.512	-8.332	-39.785
1.317	-7.232	-38.693
0.763	-6.417	-37.521
-0.269	-6.168	-36.245
-0.965	-5.455	-35.046
0.163	-5.482	-34.190
-0.113	-6.668	-33.089
-0.252	-5.525	-32.036
0.912	-5.012	-31.255
1.941	-4.194	-30.447
3.076	-4.416	-29.656
2.061	-5.101	-28.541
2.648	-3.963	-27.664
1.791	-3.540	-26.547
0.702	-3.944	-25.365
0.000	-4.965	-24.196
-0.540	-5.975	-23.031
-0.746	-7.048	-21.943
-1.107	-8.088	-20.813
-2.111	-8.237	-19.490
-1.160	-7.281	-18.707
0.035	-7.524	-17.978
-1.009	-7.442	-16.657
-1.649	-6.578	-15.460
-0.529	-6.669	-14.688
0.283	-7.430	-13.840
0.994	-8.300	-12.966
1.769	-9.159	-12.115
2.549	-8.165	-11.253
2.989	-7.067	-10.267
3.022	-5.973	-9.159
2.520	-5.157	-7.932
1.494	-5.186	-6.622
0.645	-5.875	-5.340
1.210	-6.897	-4.349
2.416	-7.110	-3.479
1.588	-6.606	-2.092
0.886	-5.982	-0.774
2.242	-6.037	0.058
1.528	-5.399	1.331
2.845	-5.662	2.230
3.729	-6.597	3.225
3.398	-7.645	4.559
2.416	-7.614	6.097
2.123	-6.635	7.394
3.402	-6.434	8.283
4.746	-6.469	9.174
5.696	-7.454	10.151
4.805	-7.486	11.611
4.339	-6.562	12.959
5.506	-6.178	13.935
4.624	-6.724	15.413
3.685	-7.283	16.904
2.717	-7.771	18.386
3.861	-7.865	19.296
4.971	-7.784	20.278
5.165	-6.754	21.592
4.126	-6.832	23.178
3.396	-7.445	24.579
3.191	-8.475	25.762
3.300	-9.634	26.854
2.728	-10.507	28.220
1.514	-10.222	29.856
0.953	-9.164	31.232
1.995	-9.158	32.097
2.591	-10.304	33.125
2.065	-11.179	34.569
1.653	-12.123	35.925
2.576	-11.724	36.712
3.126	-10.924	37.674
3.952	-10.334	38.589
5.053	-11.313	39.426
4.118	-11.559	41.013
3.032	-10.996	42.601
2.236	-9.925	44.028
1.108	-9.101	45.508
1.694	-10.334	46.489
2.927	-10.781	47.253
4.019	-10.587	48.098
2.877	-10.086	49.685
2.551	-10.988	50.963
1.941	-11.604	52.305
1.809	-12.597	53.369
2.789	-13.736	53.895
2.885	-12.619	54.861
3.170	-11.597	55.796
2.144	-11.586	57.257
1.247	-11.962	58.635
0.782	-12.781	59.752
0.817	-13.919	60.569
1.722	-15.190	60.924
2.970	-16.256	61.036
4.090	-16.116	61.191
5.070	-15.772	61.440
5.256	-14.806	62.169
4.297	-14.872	63.442
4.005	-15.785	64.346
3.578	-16.555	65.202
3.110	-17.255	65.946
2.914	-18.207	66.512
2.585	-16.971	67.117
2.915	-16.089	67.407
3.115	-15.110	67.780
4.097	-14.901	67.789
5.492	-15.839	67.604
4.301	-14.889	68.610
3.072	-13.925	69.532
4.478	-14.392	69.244
5.846	-14.659	69.081
4.809	-13.438	69.924
5.827	-14.923	69.911
4.840	-14.952	70.753
4.750	-16.071	71.151
4.607	-17.028	71.499
4.904	-18.263	71.653
4.028	-16.779	72.381
4.442	-15.885	72.487
5.261	-15.430	72.452
4.122	-13.934	73.250
4.527	-13.035	73.314
5.612	-12.977	73.108
6.230	-14.248	73.100
7.509	-15.108	72.782
8.806	-15.921	72.446
7.581	-15.720	73.282
6.847	-16.205	73.875
7.134	-17.371	73.950
7.397	-18.493	73.958
6.490	-16.940	74.547
5.833	-15.437	75.059
5.236	-13.973	75.585
3.862	-12.837	76.402
3.932	-13.908	76.635
4.401	-13.022	76.692
4.201	-11.688	76.967
3.915	-10.384	77.247
4.497	-9.714	77.285
3.865	-8.309	77.674
3.312	-9.017	78.055
4.122	-10.474	78.059
5.125	-11.923	77.959
6.495	-13.137	77.713
7.740	-13.216	77.554
9.286	-14.352	77.522
11.130	-15.526	77.513
10.851	-14.526	78.544
10.122	-13.984	79.844
11.341	-15.918	80.419
11.722	-17.306	81.375
13.267	-19.287	81.659
15.163	-20.074	81.523
16.534	-20.182	81.440
17.690	-20.116	81.332
18.955	-20.242	81.155
20.337	-20.564	81.015
19.389	-20.602	82.346
18.381	-20.343	83.820
18.212	-19.251	84.870
